fid;Nr.;Nafn;Gerð;NG;X;Y;Z;H;Lengd;Horn;Unnið af;Dagsetning;tími;Ljósmynd;ALmenn lýsing á Jarðvegsaðstæðum;Til sérstakrar athugunar;Stagfestugerð;Gæði mats (1:borað, 2:pjakkað, 3:metið á staðnum) (V-H-A-F);Dýpi á jarðvatn [m] (V-H-A-F);Þykkt á lífrænu lagi [m] (V-H-A-F);Dýpi á burðarhæft [m] (V-H-A-F);Dýpi á fast [m] (V-H-A-F);Lífrænt efni (V-H-A-F);Yfir burðarhæfu (V-H-A-F);Burðarhæft efni (V-H-A-F);Klöpp (V-H-A-F);Er Nægjanlegt pláss fyrir mastrið, undirstöður, stagfestur og annan búnað?;Eru aðstæður fullnægjandi (fen, skurður, lækjarfarvegur o.s.frv.)?;Er mastrið utan hættusvæðis vegna landsbrots, skriðufalla, snjóflóða o.s.frv.?;Er mastrið utan við tún eða aðra viðkvæma staði?;Er staðbundin snjósöfnun í mastursstæði ólíkleg?;Er hóflegur hliðarhalli í mastursstæði?;Er þörf á sérstökum ráðstöfunum í mastursstæði? Ef þörf, þá hver?;Eru aðstæður í mastursstæði betri ef mastri er hliðrað til?;Leiðir færsla á mastri til þess að færa þurfi næstu möstur?;Er góð aðkoma að mastursstæði;Er þörf á aðkomuslóð (ef ekki, þá hvers vegna?);Er þörf á slóð fyrir jarðvinnutæki?;Er þörf á reisingarplani fyrir krana?;Búið að teikna aðkomuslóð a mynd?;Uppfyllir mastursstæði kröfur reglugerða um fjarlægð frá vegum og öðrum mannvirkjum? (1: já, 2:nei);Mastursstæði er í lagi, ekki þörf á breytingu;Skráning lokið (x)
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;-;Tengiv.;0 Tv. BLA;461972.131;546421.181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;-;FAJ;1 FAJ;461942.483;546472.358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2;-;FAJ;2 FAJ;461784.561;546567.332;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510686/HH3-Nr.-2_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510684/HH3-Nr.-2_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510681/HH3-Nr.-2_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510688/HH3-Nr.-2_4.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;3;-;BSJ;3 BSJ;461717.865;546844.159;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510694/HH3-Nr.-3_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510691/HH3-Nr.-3_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4;-;SMHJ;4 SMHJ;461680.429;546999.54;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510699/HH3-Nr.-4_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510696/HH3-Nr.-4_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;5;5-B;BSJ;5 BSJ;461495.183;547269.472;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510236/HH3-5-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510234/HH3-5-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;6;6-B;BSJE;6 BSJE;461281.827;547580.363;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510395/HH3-6-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510398/HH3-6-B_2.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;7;7-B;BS;7 BS;461068.006;547923.919;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510407/HH3-7-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510400/HH3-7-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510404/HH3-7-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510409/HH3-7-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510402/HH3-7-B_2.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;8;7A-B;BS;8 BS;460889.969;548209.981;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510633/HH3-7A-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510623/HH3-7A-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510625/HH3-7A-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510630/HH3-7A-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510620/HH3-7A-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510628/HH3-7A-B_4.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;9;7B-B;BS;9 BS;460706.198;548505.255;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510635/HH3-7B-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510640/HH3-7B-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510645/HH3-7B-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510638/HH3-7B-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510648/HH3-7B-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510643/HH3-7B-B_4.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;10;8-B;BS;10 BS;460519.147;548805.799;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510665/HH3-8-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510661/HH3-8-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510651/HH3-8-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510658/HH3-8-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510656/HH3-8-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510653/HH3-8-B_2.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
